,数据来自快易数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,美国,总和生育率,,加拿大,,,英国,,,巴西,,,印度,,,韩国,,,日本,,,越南,,,Niger,,,法国,,,德国,,,阿富汗,
Year,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility
1972,209.90 ,2.01 ,,22.22 ,1.98 ,,56.09 ,2.20 ,,99.86 ,4.71 ,,581.09 ,5.44 ,,33.51 ,4.12 ,,107.19 ,2.14 ,,45.55 ,6.35 ,,4.77 ,7.60 ,,52.79 ,2.38 ,,78.69 ,1.71 ,,11.79 ,7.45 
1971,207.66 ,2.27 ,,21.96 ,2.14 ,,55.90 ,2.41 ,,97.48 ,4.84 ,,567.87 ,5.52 ,,32.88 ,4.54 ,,105.70 ,2.16 ,,44.48 ,6.42 ,,4.64 ,7.58 ,,52.37 ,2.47 ,,78.31 ,1.92 ,,11.48 ,7.45 
1970,205.05 ,2.48 ,,21.32 ,2.26 ,,55.66 ,2.44 ,,95.11 ,4.97 ,,555.19 ,5.59 ,,32.24 ,4.53 ,,104.35 ,2.13 ,,43.40 ,6.46 ,,4.51 ,7.57 ,,51.96 ,2.55 ,,78.17 ,2.03 ,,11.17 ,7.45 
1969,202.68 ,2.46 ,,21.03 ,2.33 ,,55.44 ,2.51 ,,92.75 ,5.12 ,,543.08 ,5.65 ,,31.54 ,4.47 ,,103.17 ,2.13 ,,42.31 ,6.49 ,,4.39 ,7.56 ,,51.56 ,2.62 ,,77.91 ,2.21 ,,10.89 ,7.45 
1968,200.71 ,2.46 ,,20.74 ,2.39 ,,55.21 ,2.60 ,,90.39 ,5.27 ,,531.51 ,5.70 ,,30.84 ,4.62 ,,101.06 ,2.13 ,,41.19 ,6.49 ,,4.26 ,7.55 ,,51.18 ,2.69 ,,77.29 ,2.38 ,,10.64 ,7.45 
1967,198.71 ,2.56 ,,20.41 ,2.53 ,,54.94 ,2.68 ,,88.04 ,5.42 ,,520.40 ,5.75 ,,30.13 ,4.77 ,,100.73 ,2.02 ,,40.07 ,6.49 ,,4.14 ,7.54 ,,50.78 ,2.75 ,,76.95 ,2.48 ,,10.40 ,7.45 
1966,196.56 ,2.72 ,,20.05 ,2.75 ,,54.65 ,2.78 ,,85.70 ,5.57 ,,509.63 ,5.79 ,,29.44 ,4.94 ,,99.79 ,1.58 ,,38.96 ,6.49 ,,4.03 ,7.54 ,,50.33 ,2.80 ,,76.60 ,2.53 ,,10.17 ,7.45 
1965,194.30 ,2.91 ,,19.68 ,3.12 ,,54.35 ,2.86 ,,83.37 ,5.70 ,,499.12 ,5.83 ,,28.70 ,5.13 ,,98.88 ,2.14 ,,37.86 ,6.47 ,,3.91 ,7.53 ,,49.82 ,2.84 ,,75.96 ,2.50 ,,9.96 ,7.45 
1964,191.89 ,3.19 ,,19.33 ,3.46 ,,54.00 ,2.93 ,,81.06 ,5.82 ,,488.85 ,5.86 ,,27.98 ,5.33 ,,97.83 ,2.05 ,,36.78 ,6.46 ,,3.80 ,7.52 ,,49.23 ,2.87 ,,75.32 ,2.54 ,,9.74 ,7.45 
1963,189.24 ,3.32 ,,18.96 ,3.61 ,,53.65 ,2.88 ,,78.77 ,5.91 ,,478.83 ,5.88 ,,27.26 ,5.53 ,,96.81 ,2.02 ,,35.72 ,6.45 ,,3.69 ,7.50 ,,48.58 ,2.89 ,,74.71 ,2.51 ,,9.54 ,7.45 
1962,186.54 ,3.46 ,,18.61 ,3.68 ,,53.25 ,2.86 ,,76.51 ,5.98 ,,469.08 ,5.89 ,,26.51 ,5.74 ,,95.83 ,2.01 ,,34.68 ,6.42 ,,3.59 ,7.49 ,,47.90 ,2.89 ,,74.03 ,2.44 ,,9.35 ,7.45 
1961,183.69 ,3.62 ,,18.27 ,3.75 ,,52.80 ,2.78 ,,74.31 ,6.03 ,,459.64 ,5.90 ,,25.77 ,5.93 ,,94.94 ,2.05 ,,33.67 ,6.39 ,,3.49 ,7.47 ,,47.24 ,2.87 ,,73.38 ,2.45 ,,9.17 ,7.45 
1960,180.67 ,3.65 ,,17.91 ,3.81 ,,52.40 ,2.69 ,,72.18 ,6.06 ,,450.55 ,5.91 ,,25.01 ,6.09 ,,92.50 ,2.00 ,,32.67 ,6.35 ,,3.39 ,7.45 ,,46.62 ,2.85 ,,72.81 ,2.37 ,,9.00 ,7.45 
1959,177.62 ,,,17.50 ,,,52.22 ,,,70.15 ,6.08 ,,440.81 ,5.91 ,,24.30 ,6.22 ,,91.68 ,2.04 ,,31.70 ,6.29 ,,3.30 ,7.43 ,,46.24 ,2.82 ,,72.25 ,,,8.83 ,7.45 
