,数据来自快易数据,,,总和生育率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,美国,,,加拿大,,,英国,,,巴西,,,印度,,,韩国,,,日本,,,越南,,,Niger,,,法国,,,德国,,,阿富汗,
Year,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility,,Population,Fertility
1986,"2.4亿 (240,133,000)",1.84,,"2.61千万 (26,100,278)",1.68,,"5.67千万 (56,681,396)",1.78,,"1.38亿 (138,108,912)",3.34,,"8.02亿 (801,975,244)",4.4,,"4.12千万 (41,213,674)",1.58,,"1.21亿 (121,492,000)",1.72,,"6.23千万 (62,293,856)",4.06,,"7.12百万 (7,118,883)",7.84,,"5.7千万 (56,976,123)",1.85,,"7.77千万 (77,720,436)",1.43,,"1.17千万 (11,736,179)",7.46
1985,"2.38亿 (237,924,000)",1.84,,"2.58千万 (25,842,116)",1.67,,"5.66千万 (56,550,268)",1.79,,"1.35亿 (135,274,080)",3.47,,"7.84亿 (784,360,008)",4.48,,"4.08千万 (40,805,744)",1.66,,"1.21亿 (120,754,000)",1.76,,"6.09千万 (60,896,721)",4.21,,"6.92百万 (6,915,997)",7.87,,"5.67千万 (56,654,696)",1.86,,"7.77千万 (77,684,873)",1.37,,"1.19千万 (11,938,208)",7.46
1984,"2.36亿 (235,825,000)",1.81,,"2.56千万 (25,607,053)",1.65,,"5.64千万 (56,422,072)",1.77,,"1.32亿 (132,383,568)",3.6,,"7.67亿 (766,833,410)",4.56,,"4.04千万 (40,405,956)",1.74,,"1.2亿 (120,018,000)",1.81,,"5.95千万 (59,512,619)",4.36,,"6.72百万 (6,719,309)",7.88,,"5.63千万 (56,337,666)",1.86,,"7.79千万 (77,858,685)",1.29,,"1.22千万 (12,204,292)",7.46
1983,"2.34亿 (233,792,000)",1.8,,"2.54千万 (25,366,451)",1.68,,"5.63千万 (56,332,848)",1.77,,"1.29亿 (129,448,819)",3.72,,"7.49亿 (749,428,958)",4.64,,"3.99千万 (39,910,403)",2.06,,"1.19亿 (119,259,000)",1.8,,"5.81千万 (58,148,384)",4.52,,"6.53百万 (6,528,641)",7.89,,"5.6千万 (56,023,770)",1.86,,"7.81千万 (78,128,282)",1.33,,"1.25千万 (12,537,730)",7.45
1982,"2.32亿 (231,664,000)",1.83,,"2.51千万 (25,116,942)",1.69,,"5.63千万 (56,313,641)",1.78,,"1.26亿 (126,498,314)",3.84,,"7.32亿 (732,239,504)",4.7,,"3.93千万 (39,326,352)",2.39,,"1.18亿 (118,449,000)",1.77,,"5.68千万 (56,814,306)",4.69,,"6.34百万 (6,343,523)",7.88,,"5.57千万 (55,718,933)",1.86,,"7.83千万 (78,333,366)",1.41,,"1.29千万 (12,882,528)",7.45
1981,"2.29亿 (229,466,000)",1.81,,"2.48千万 (24,819,915)",1.7,,"5.63千万 (56,333,829)",1.82,,"1.24亿 (123,570,327)",3.94,,"7.15亿 (715,384,993)",4.77,,"3.87千万 (38,723,248)",2.57,,"1.18亿 (117,648,000)",1.74,,"5.55千万 (55,522,803)",4.87,,"6.16百万 (6,163,705)",7.87,,"5.54千万 (55,430,296)",1.85,,"7.84千万 (78,407,907)",1.43,,"1.32千万 (13,171,673)",7.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,"2.27亿 (227,225,000)",1.84,,"2.45千万 (24,515,667)",1.74,,"5.63千万 (56,314,216)",1.9,,"1.21亿 (120,694,009)",4.04,,"6.99亿 (698,952,844)",4.83,,"3.81千万 (38,123,775)",2.82,,"1.17亿 (116,782,000)",1.75,,"5.43千万 (54,281,846)",5.05,,"5.99百万 (5,989,004)",7.84,,"5.52千万 (55,161,527)",1.85,,"7.83千万 (78,288,576)",1.44,,"1.34千万 (13,356,511)",7.45
1979,"2.25亿 (225,055,000)",1.81,,"2.42千万 (24,201,544)",1.75,,"5.62千万 (56,246,951)",1.86,,"1.18亿 (117,878,411)",4.12,,"6.83亿 (682,995,354)",4.89,,"3.75千万 (37,534,236)",2.9,,"1.16亿 (115,870,000)",1.77,,"5.31千万 (53,095,408)",5.23,,"5.82百万 (5,818,763)",7.81,,"5.49千万 (54,917,118)",1.87,,"7.81千万 (78,126,350)",1.38,,"1.34千万 (13,411,056)",7.45
1978,"2.23亿 (222,585,000)",1.76,,"2.4千万 (23,963,203)",1.77,,"5.62千万 (56,196,504)",1.75,,"1.15亿 (115,121,153)",4.2,,"6.67亿 (667,499,806)",4.96,,"3.7千万 (36,969,185)",2.64,,"1.15亿 (114,898,000)",1.79,,"5.2千万 (51,959,015)",5.42,,"5.65百万 (5,652,652)",7.78,,"5.47千万 (54,691,851)",1.89,,"7.81千万 (78,091,820)",1.38,,"1.33千万 (13,341,198)",7.45
1977,"2.2亿 (220,239,000)",1.79,,"2.37千万 (23,725,843)",1.78,,"5.62千万 (56,193,492)",1.69,,"1.12亿 (112,425,392)",4.27,,"6.52亿 (652,408,776)",5.03,,"3.64千万 (36,411,795)",2.99,,"1.14亿 (113,863,000)",1.8,,"5.09千万 (50,861,162)",5.61,,"5.49百万 (5,491,153)",7.74,,"5.45千万 (54,467,702)",1.94,,"7.82千万 (78,159,814)",1.4,,"1.32千万 (13,171,306)",7.45
1976,"2.18亿 (218,035,000)",1.74,,"2.34千万 (23,449,808)",1.8,,"5.62千万 (56,211,968)",1.74,,"1.1亿 (109,790,938)",4.34,,"6.38亿 (637,630,087)",5.11,,"3.58千万 (35,848,523)",3,,"1.13亿 (112,771,000)",1.85,,"4.98千万 (49,785,282)",5.8,,"5.34百万 (5,335,085)",7.7,,"5.42千万 (54,220,022)",2.01,,"7.83千万 (78,336,950)",1.45,,"1.29千万 (12,943,093)",7.45
